columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
27.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",317,157,160,0,125,139,0,17,8,0,15,13,0,0,0,0,2023,nacimientos,Cuadro11
27.0,,Ninguno de las anteriores,113,59,54,0,19,24,0,21,17,0,19,13,0,0,0,0,2023,nacimientos,Cuadro11
27.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
41.0,41 Huila,Total,1333,679,653,1,380,371,0,73,77,0,226,205,1,0,0,0,2023,nacimientos,Cuadro11
41.0,,Indígena,15,8,7,0,1,0,0,1,1,0,6,6,0,0,0,0,2023,nacimientos,Cuadro11
41.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
41.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
41.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
41.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",4,1,3,0,0,1,0,0,0,0,1,2,0,0,0,0,2023,nacimientos,Cuadro11
41.0,,Ninguno de las anteriores,1314,670,643,1,379,370,0,72,76,0,219,197,1,0,0,0,2023,nacimientos,Cuadro11
41.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
44.0,44 La Guajira,Total,1625,837,788,0,418,388,0,87,65,0,332,335,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,Indígena,868,442,426,0,113,103,0,43,32,0,286,291,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",25,14,11,0,14,9,0,0,1,0,0,1,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,Ninguno de las anteriores,732,381,351,0,291,276,0,44,32,0,46,43,0,0,0,0,2023,nacimientos,Cuadro11
44.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
47.0,47 Magdalena,Total,1726,885,841,0,663,614,0,183,182,0,39,45,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,Indígena,10,6,4,0,3,2,0,1,1,0,2,1,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",9,5,4,0,4,4,0,1,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,Ninguno de las anteriores,1707,874,833,0,656,608,0,181,181,0,37,44,0,0,0,0,2023,nacimientos,Cuadro11
47.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
50.0,50 Meta,Total,1033,550,483,0,428,384,0,24,28,0,98,71,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,Indígena,43,23,20,0,1,5,0,1,2,0,21,13,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",4,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,Ninguno de las anteriores,986,526,460,0,426,376,0,23,26,0,77,58,0,0,0,0,2023,nacimientos,Cuadro11
50.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
52.0,52 Nariño,Total,1000,510,489,1,265,264,1,72,64,0,173,161,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,Indígena,111,54,57,0,12,11,0,8,9,0,34,37,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,Raizal del archipiélago de San Andrés y Providencia,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",240,131,109,0,71,55,0,19,14,0,41,40,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,Ninguno de las anteriores,647,325,321,1,182,196,1,45,41,0,98,84,0,0,0,0,2023,nacimientos,Cuadro11
52.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
54.0,54 Norte de Santander,Total,1552,791,761,0,590,589,0,48,42,0,153,130,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,Indígena,7,3,4,0,1,1,0,0,1,0,2,2,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",8,1,7,0,1,5,0,0,0,0,0,2,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,Ninguno de las anteriores,1537,787,750,0,588,583,0,48,41,0,151,126,0,0,0,0,2023,nacimientos,Cuadro11
54.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
63.0,63 Quindío,Total,382,202,180,0,178,167,0,8,3,0,16,10,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,Indígena,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",6,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,Ninguno de las anteriores,374,199,175,0,175,164,0,8,3,0,16,8,0,0,0,0,2023,nacimientos,Cuadro11
63.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
66.0,66 Risaralda,Total,703,368,335,0,268,270,0,23,15,0,77,50,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,Indígena,55,31,24,0,4,1,0,1,4,0,26,19,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",9,4,5,0,4,4,0,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,Ninguno de las anteriores,639,333,306,0,260,265,0,22,11,0,51,30,0,0,0,0,2023,nacimientos,Cuadro11
66.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
68.0,68 Santander,Total,1907,980,927,0,786,709,0,35,28,0,159,190,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,Indígena,4,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,Ninguno de las anteriores,1901,975,926,0,784,708,0,35,28,0,156,190,0,0,0,0,2023,nacimientos,Cuadro11
68.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
70.0,70 Sucre,Total,1050,530,520,0,338,303,0,117,130,0,75,87,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,Indígena,7,4,3,0,1,2,0,1,1,0,2,0,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",5,1,4,0,0,3,0,1,1,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,Ninguno de las anteriores,1038,525,513,0,337,298,0,115,128,0,73,87,0,0,0,0,2023,nacimientos,Cuadro11
70.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
73.0,73 Tolima,Total,1134,581,553,0,387,385,0,28,38,0,166,130,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,Indígena,18,6,12,0,1,1,0,2,1,0,3,10,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",4,1,3,0,1,2,0,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,Ninguno de las anteriores,1112,574,538,0,385,382,0,26,37,0,163,119,0,0,0,0,2023,nacimientos,Cuadro11
73.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro11
76.0,76 Valle del Cauca,Total,3142,1566,1575,1,1365,1347,1,103,127,0,98,101,0,0,0,0,2023,nacimientos,Cuadro11
