columna,columna_1,"CUADRO 5 - Nacimientos por persona que atendió el parto según departamento, municipio de ocurrencia y sitio del parto",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,año,tipo,hoja_origen
5.0,5197.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5206.0,,05206 Concepción,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5206.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5206.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5206.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5206.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5209.0,,05209 Concordia,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5209.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5209.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5209.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5209.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5212.0,,05212 Copacabana,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5212.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5212.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5212.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5212.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5234.0,,05234 Dabeiba,Total,11,8,0,0,0,1,2,0,2023,nacimientos,Cuadro5
5.0,5234.0,,,Institución de Salud,8,8,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5234.0,,,Domicilio,3,0,0,0,0,1,2,0,2023,nacimientos,Cuadro5
5.0,5234.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5234.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5237.0,,05237 Don Matías,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5237.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5237.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5237.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5237.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5240.0,,05240 Ebéjico,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5240.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5240.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5240.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5240.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
