columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
5.0,5129.0,,05129 Caldas,Total,39,0,0,4,4,5,25,1,0,0,2023,nacimientos,Cuadro6A
5.0,5129.0,,,Cabecera municipal,24,0,0,2,3,3,16,0,0,0,2023,nacimientos,Cuadro6A
5.0,5129.0,,,Centro poblado,3,0,0,0,0,0,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5129.0,,,Rural disperso,12,0,0,2,1,2,6,1,0,0,2023,nacimientos,Cuadro6A
5.0,5129.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5134.0,,05134 Campamento,Total,2,0,0,0,0,1,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5134.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5134.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5134.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5134.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5138.0,,05138 Cañasgordas,Total,13,0,0,1,1,2,6,2,1,0,2023,nacimientos,Cuadro6A
5.0,5138.0,,,Cabecera municipal,5,0,0,1,1,1,1,1,0,0,2023,nacimientos,Cuadro6A
5.0,5138.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5138.0,,,Rural disperso,8,0,0,0,0,1,5,1,1,0,2023,nacimientos,Cuadro6A
5.0,5138.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5142.0,,05142 Caracolí,Total,3,0,0,1,0,0,1,1,0,0,2023,nacimientos,Cuadro6A
