columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
68.0,,Contributivo,5348,3684,12,1371,19,164,97,1,2022,defunciones,Cuadro6
68.0,,Subsidiado,7545,4660,24,2301,22,278,258,2,2022,defunciones,Cuadro6
68.0,,Excepción,801,640,0,145,0,1,15,0,2022,defunciones,Cuadro6
68.0,,Especial,24,13,0,11,0,0,0,0,2022,defunciones,Cuadro6
68.0,,No asegurado,140,111,0,26,0,1,2,0,2022,defunciones,Cuadro6
68.0,,Sin información,162,52,4,28,1,40,31,6,2022,defunciones,Cuadro6
70.0,70 Sucre,TOTAL,4657,3292,41,1088,11,162,60,3,2022,defunciones,Cuadro6
70.0,,Contributivo,662,499,6,127,1,21,8,0,2022,defunciones,Cuadro6
70.0,,Subsidiado,3827,2670,34,931,9,134,48,1,2022,defunciones,Cuadro6
70.0,,Excepción,112,94,1,14,1,0,1,1,2022,defunciones,Cuadro6
70.0,,Especial,1,1,0,0,0,0,0,0,2022,defunciones,Cuadro6
70.0,,No asegurado,34,24,0,10,0,0,0,0,2022,defunciones,Cuadro6
70.0,,Sin información,21,4,0,6,0,7,3,1,2022,defunciones,Cuadro6
73.0,73 Tolima,TOTAL,9553,5535,30,3166,30,391,365,36,2022,defunciones,Cuadro6
73.0,,Contributivo,3131,2038,9,871,8,129,75,1,2022,defunciones,Cuadro6
73.0,,Subsidiado,5935,3212,19,2168,22,233,269,12,2022,defunciones,Cuadro6
73.0,,Excepción,313,229,1,80,0,1,2,0,2022,defunciones,Cuadro6
73.0,,Especial,7,3,0,4,0,0,0,0,2022,defunciones,Cuadro6
73.0,,No asegurado,73,36,0,33,0,1,3,0,2022,defunciones,Cuadro6
73.0,,Sin información,94,17,1,10,0,27,16,23,2022,defunciones,Cuadro6
76.0,76 Valle del Cauca,TOTAL,32819,22374,201,7885,67,1448,659,185,2022,defunciones,Cuadro6
76.0,,Contributivo,15524,10729,57,3938,23,528,205,44,2022,defunciones,Cuadro6
76.0,,Subsidiado,15658,10569,134,3638,40,807,406,64,2022,defunciones,Cuadro6
76.0,,Excepción,818,643,3,167,0,0,5,0,2022,defunciones,Cuadro6
76.0,,Especial,76,62,0,13,0,0,1,0,2022,defunciones,Cuadro6
76.0,,No asegurado,322,233,1,81,1,5,1,0,2022,defunciones,Cuadro6
76.0,,Sin información,421,138,6,48,3,108,41,77,2022,defunciones,Cuadro6
81.0,81 Arauca,TOTAL,1388,580,9,377,17,299,106,0,2022,defunciones,Cuadro6
81.0,,Contributivo,147,68,3,22,2,40,12,0,2022,defunciones,Cuadro6
81.0,,Subsidiado,1024,441,4,330,11,181,57,0,2022,defunciones,Cuadro6
81.0,,Excepción,14,10,0,3,0,0,1,0,2022,defunciones,Cuadro6
81.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
81.0,,No asegurado,68,51,0,15,1,0,1,0,2022,defunciones,Cuadro6
81.0,,Sin información,135,10,2,7,3,78,35,0,2022,defunciones,Cuadro6
85.0,85 Casanare,TOTAL,1758,1085,27,447,5,117,74,3,2022,defunciones,Cuadro6
85.0,,Contributivo,357,227,2,66,0,41,19,2,2022,defunciones,Cuadro6
85.0,,Subsidiado,1312,810,24,366,5,62,45,0,2022,defunciones,Cuadro6
85.0,,Excepción,26,18,0,8,0,0,0,0,2022,defunciones,Cuadro6
85.0,,Especial,2,2,0,0,0,0,0,0,2022,defunciones,Cuadro6
85.0,,No asegurado,25,19,1,3,0,2,0,0,2022,defunciones,Cuadro6
85.0,,Sin información,36,9,0,4,0,12,10,1,2022,defunciones,Cuadro6
86.0,86 Putumayo,TOTAL,1345,474,1,446,10,154,221,39,2022,defunciones,Cuadro6
86.0,,Contributivo,111,45,0,23,2,15,26,0,2022,defunciones,Cuadro6
86.0,,Subsidiado,1114,400,1,411,7,118,166,11,2022,defunciones,Cuadro6
86.0,,Excepción,17,14,0,2,0,0,1,0,2022,defunciones,Cuadro6
86.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
86.0,,No asegurado,21,10,0,7,1,1,2,0,2022,defunciones,Cuadro6
86.0,,Sin información,82,5,0,3,0,20,26,28,2022,defunciones,Cuadro6
88.0,88 Archipiélago de San Andrés y Providencia,TOTAL,277,206,0,44,1,18,7,1,2022,defunciones,Cuadro6
