columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
13.0,13140.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13140.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,13160 Cantagallo,Total,39,0,6,11,10,2,0,4,3,3,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 10-14 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 15-19 Años,8,0,1,4,2,1,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 20-24 Años,10,0,2,3,4,0,0,0,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 25-29 Años,8,0,1,2,1,0,0,1,0,3,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 30-34 Años,9,0,1,2,2,1,0,2,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 35-39 Años,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 40-44 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13160.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13188.0,,13188 Cicuco,Total,94,0,10,26,19,2,0,7,0,5,1,0,0,1,23,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 10-14 Años,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 15-19 Años,19,0,6,9,3,0,0,0,0,0,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 20-24 Años,37,0,1,11,9,0,0,1,0,1,0,0,0,1,13,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 25-29 Años,16,0,1,2,6,1,0,1,0,0,0,0,0,0,5,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 30-34 Años,13,0,2,0,0,0,0,5,0,2,0,0,0,0,4,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 35-39 Años,8,0,0,3,1,1,0,0,0,2,1,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 40-44 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13188.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13188.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,13212 Córdoba,Total,65,0,11,25,14,1,0,5,1,3,0,0,0,1,4,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 10-14 Años,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 15-19 Años,20,0,5,11,0,0,0,0,0,0,0,0,0,0,4,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 20-24 Años,18,0,4,5,6,0,0,3,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 25-29 Años,12,0,1,3,3,0,0,1,1,2,0,0,0,1,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 30-34 Años,11,0,0,4,4,1,0,1,0,1,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 35-39 Años,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
