columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
23.0,23 Córdoba,Total,9517,4787,4729,1,2782,2700,1,574,578,0,1431,1451,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,Indígena,212,113,99,0,22,25,0,23,11,0,68,63,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,Raizal del archipiélago de San Andrés y Providencia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,Palenquero de San Basilio,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",78,34,44,0,19,14,0,3,3,0,12,27,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,Ninguno de las anteriores,9225,4638,4586,1,2740,2661,1,548,564,0,1350,1361,0,0,0,0,2025,nacimientos,Cuadro11
23.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
25.0,25 Cundinamarca,Total,15069,7697,7371,1,5651,5372,1,84,97,0,1962,1902,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,Indígena,76,39,37,0,28,25,0,0,1,0,11,11,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",49,30,19,0,24,16,0,1,0,0,5,3,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,Ninguno de las anteriores,14944,7628,7315,1,5599,5331,1,83,96,0,1946,1888,0,0,0,0,2025,nacimientos,Cuadro11
25.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
27.0,27 Chocó,Total,3080,1573,1507,0,980,940,0,180,182,0,413,385,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,Indígena,597,319,278,0,68,75,0,75,57,0,176,146,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,Palenquero de San Basilio,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1708,878,830,0,724,663,0,83,86,0,71,81,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,Ninguno de las anteriores,774,376,398,0,188,201,0,22,39,0,166,158,0,0,0,0,2025,nacimientos,Cuadro11
27.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
41.0,41 Huila,Total,7214,3699,3515,0,2101,1987,0,436,404,0,1162,1124,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,Indígena,95,62,33,0,2,5,0,8,4,0,52,24,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,Raizal del archipiélago de San Andrés y Providencia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",19,8,11,0,6,5,0,1,0,0,1,6,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,Ninguno de las anteriores,7099,3628,3471,0,2092,1977,0,427,400,0,1109,1094,0,0,0,0,2025,nacimientos,Cuadro11
41.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
44.0,44 La Guajira,Total,9155,4676,4478,1,2057,1911,0,414,364,0,2205,2203,1,0,0,0,2025,nacimientos,Cuadro11
44.0,,Indígena,5454,2740,2713,1,528,509,0,229,201,0,1983,2003,1,0,0,0,2025,nacimientos,Cuadro11
44.0,,Rom (Gitano),1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
44.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
44.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
44.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",93,53,40,0,40,31,0,10,5,0,3,4,0,0,0,0,2025,nacimientos,Cuadro11
44.0,,Ninguno de las anteriores,3607,1882,1725,0,1489,1371,0,175,158,0,218,196,0,0,0,0,2025,nacimientos,Cuadro11
44.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
47.0,47 Magdalena,Total,8408,4304,4104,0,3186,3116,0,829,727,0,289,261,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,Indígena,77,43,34,0,15,6,0,10,7,0,18,21,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",55,33,22,0,21,16,0,7,5,0,5,1,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,Ninguno de las anteriores,8276,4228,4048,0,3150,3094,0,812,715,0,266,239,0,0,0,0,2025,nacimientos,Cuadro11
47.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
50.0,50 Meta,Total,6353,3238,3115,0,2523,2466,0,132,111,0,583,538,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,Indígena,269,147,122,0,38,37,0,3,5,0,106,80,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",22,10,12,0,6,9,0,2,0,0,2,3,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,Ninguno de las anteriores,6062,3081,2981,0,2479,2420,0,127,106,0,475,455,0,0,0,0,2025,nacimientos,Cuadro11
50.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
52.0,52 Nariño,Total,6484,3269,3214,1,1745,1738,0,340,381,1,1184,1095,0,0,0,0,2025,nacimientos,Cuadro11
52.0,,Indígena,829,440,389,0,101,96,0,57,50,0,282,243,0,0,0,0,2025,nacimientos,Cuadro11
52.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
52.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
