columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen,cuadro,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo"
50.0,,Ninguno de las anteriores,1110,584,526,0,491,437,0,26,18,0,67,71,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
50.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,52 Nariño,Total,1173,587,586,0,314,321,0,80,98,0,193,167,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,Indígena,129,65,64,0,18,11,0,7,16,0,40,37,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",307,163,144,0,84,84,0,19,24,0,60,36,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,Ninguno de las anteriores,737,359,378,0,212,226,0,54,58,0,93,94,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
52.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,54 Norte de Santander,Total,1808,916,892,0,741,701,0,51,32,0,124,159,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,Indígena,7,2,5,0,0,2,0,1,1,0,1,2,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",6,2,4,0,2,3,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,Ninguno de las anteriores,1795,912,883,0,739,696,0,50,31,0,123,156,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
54.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,63 Quindío,Total,383,200,183,0,180,164,0,4,5,0,16,14,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,Indígena,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,Ninguno de las anteriores,379,198,181,0,179,162,0,4,5,0,15,14,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
63.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,66 Risaralda,Total,711,328,383,0,274,277,0,14,21,0,40,85,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,Indígena,49,14,35,0,1,2,0,0,3,0,13,30,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",10,4,6,0,3,3,0,1,1,0,0,2,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,Ninguno de las anteriores,652,310,342,0,270,272,0,13,17,0,27,53,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
66.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
68.0,68 Santander,Total,2035,1070,965,0,825,729,0,35,34,0,210,202,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
68.0,,Indígena,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
68.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
68.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
