columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen,cuadro
5.0,5120.0,,,Rural disperso,9,0,0,0,1,4,3,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5120.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5125.0,,05125 Caicedo,Total,3,0,0,0,1,1,0,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5125.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5125.0,,,Centro poblado,1,0,0,0,0,0,0,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5125.0,,,Rural disperso,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5125.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5129.0,,05129 Caldas,Total,58,0,0,0,4,18,27,7,2,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5129.0,,,Cabecera municipal,47,0,0,0,3,15,23,5,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5129.0,,,Centro poblado,3,0,0,0,0,1,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5129.0,,,Rural disperso,8,0,0,0,1,2,2,2,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5129.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5134.0,,05134 Campamento,Total,9,1,0,1,0,2,2,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5134.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5134.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5134.0,,,Rural disperso,8,1,0,1,0,1,2,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5134.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5138.0,,05138 Cañasgordas,Total,12,0,0,0,0,4,6,1,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5138.0,,,Cabecera municipal,7,0,0,0,0,1,4,1,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5138.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5138.0,,,Rural disperso,5,0,0,0,0,3,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5138.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
