columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen,cuadro
8.0,8421.0,,08421 Luruaco,30,24,6,0,19,5,0,5,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8433.0,,08433 Malambo,146,71,75,0,70,73,0,1,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8436.0,,08436 Manatí,21,14,7,0,14,7,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8520.0,,08520 Palmar de Varela,25,8,17,0,8,17,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8549.0,,08549 Piojó,5,1,4,0,1,3,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8558.0,,08558 Polonuevo,13,8,5,0,8,3,0,0,1,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8560.0,,08560 Ponedera,40,16,24,0,12,18,0,4,6,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8573.0,,08573 Puerto Colombia,42,22,20,0,22,17,0,0,3,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8606.0,,08606 Repelón,32,16,16,0,13,15,0,3,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8634.0,,08634 Sabanagrande,33,18,15,0,18,15,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8638.0,,08638 Sabanalarga,112,59,53,0,49,45,0,8,6,0,2,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8675.0,,08675 Santa Lucía,16,6,10,0,6,10,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8685.0,,08685 Santo Tomás,27,12,15,0,11,15,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8758.0,,08758 Soledad,552,293,259,0,293,258,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8770.0,,08770 Suan,13,8,5,0,6,5,0,0,0,0,2,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8832.0,,08832 Tubará,10,7,3,0,7,2,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8849.0,,08849 Usiacurí,10,3,7,0,3,5,0,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
8.0,8999.0,,Sin Información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
11.0,11000.0,11 Bogotá,Total,5154,2610,2543,1,2605,2537,1,2,0,0,3,6,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
11.0,11001.0,,"11001 Bogotá, D.C.",5154,2610,2543,1,2605,2537,1,2,0,0,3,6,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
11.0,11999.0,,Sin Información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13000.0,13 Bolívar,Total,2830,1459,1371,0,1221,1181,0,152,116,0,86,74,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13001.0,,13001 Cartagena,1396,716,680,0,665,648,0,44,30,0,7,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13006.0,,13006 Achí,40,19,21,0,10,7,0,1,3,0,8,11,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13030.0,,13030 Altos del Rosario,15,8,7,0,6,5,0,0,1,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13042.0,,13042 Arenal,19,12,7,0,10,6,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13052.0,,13052 Arjona,67,33,34,0,29,33,0,4,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13062.0,,13062 Arroyohondo,9,6,3,0,6,1,0,0,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13074.0,,13074 Barranco de Loba,22,14,8,0,7,5,0,4,1,0,3,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13140.0,,13140 Calamar,24,8,16,0,6,11,0,1,4,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13160.0,,13160 Cantagallo,10,5,5,0,2,3,0,2,2,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13188.0,,13188 Cicuco,6,3,3,0,3,1,0,0,2,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13212.0,,13212 Córdoba,10,0,10,0,0,5,0,0,3,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13222.0,,13222 Clemencia,17,6,11,0,5,11,0,1,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13244.0,,13244 El Carmen de Bolívar,91,48,43,0,31,35,0,5,0,0,12,8,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13248.0,,13248 El Guamo,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13268.0,,13268 El Peñón,12,6,6,0,4,4,0,1,1,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13300.0,,13300 Hatillo de Loba,15,12,3,0,2,0,0,7,2,0,3,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13430.0,,13430 Magangué,310,156,154,0,152,148,0,3,5,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13433.0,,13433 Mahates,25,14,11,0,11,9,0,2,1,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13440.0,,13440 Margarita,10,4,6,0,1,3,0,3,3,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
13.0,13442.0,,13442 María La Baja,71,41,30,0,26,25,0,14,4,0,1,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
